name,model_year,vin,listing_date,cost_price,selling_price,state,description,active
Nissan 350Z,2008,VIN350Z001,2025-01-15,15000.00,19000.00,available,Sporty coupe,TRUE
Nissan GT-R,2007,VINGTR002,2024-07-22,29000.00,25000.00,available,High-performance sports car,TRUE
Toyota Camry,2020,VINCAMRY003,2025-03-01,22000.00,24500.00,sold,Reliable sedan,TRUE
Honda Civic,2018,VINCIVIC004,2024-02-10,18000.00,17500.00,sold,Compact and efficient,TRUE
Ford Mustang,2022,VINMUSTANG005,2025-05-20,35000.00,38000.00,available,Iconic muscle car,TRUE
BMW X5,2021,VINBMWX5006,2024-01-05,50000.00,48000.00,sold,Luxury SUV,TRUE
Mercedes C-Class,2019,VINMERC007,2025-04-10,30000.00,33000.00,available,Premium comfort,TRUE
Audi A4,2017,VINAUDI008,2024-03-15,25000.00,23000.00,maintenance,Executive sedan,TRUE
Chevrolet Tahoe,2023,VINTAHOE009,2025-06-01,45000.00,49000.00,available,Full-size SUV,TRUE
Jeep Wrangler,2016,VINJEEP010,2023-10-20,20000.00,19500.00,sold,Off-road ready,TRUE
Tesla Model 3,2023,VINTESLA011,2025-07-01,40000.00,42000.00,available,Electric vehicle,TRUE
Hyundai Elantra,2019,VINHYUNDAI012,2024-08-05,17000.00,18500.00,available,Economical choice,TRUE
Subaru Outback,2021,VINSUBARU013,2025-02-10,28000.00,30000.00,available,All-wheel drive wagon,TRUE
Volkswagen Golf,2015,VINVW014,2023-11-11,12000.00,11000.00,sold,Reliable hatchback,TRUE
Porsche 911,2024,VINPORSCHE015,2025-07-20,100000.00,110000.00,available,High-end sports car,TRUE
